price,location,bed,bath,carport,surface_area,building_area
1200000000.0,"Depok, Sleman",7.0,3.0,1.0,157,120
970000000.0,"Ngaglik, Sleman",4.0,2.0,1.0,176,90
8900000000.0,"Depok, Sleman",5.0,5.0,4.0,1280,820
5900000000.0,"Depok, Sleman",4.0,4.0,4.0,1192,620
1600000000.0,"Gamping, Sleman",5.0,5.0,0.0,131,200
5000000000.0,"Depok, Sleman",9.0,6.0,0.0,438,180
14000000000.0,"Kotagede, Yogyakarta",13.0,13.0,6.0,1200,350
675000000.0,"Kalasan, Sleman",3.0,2.0,1.0,125,65
675000000.0,"Kalasan, Sleman",3.0,2.0,1.0,125,65
795000000.0,"Gamping, Sleman",3.0,2.0,1.0,98,85
580000000.0,"Kalasan, Sleman",3.0,2.0,1.0,100,80
580000000.0,"Kalasan, Sleman",3.0,2.0,1.0,100,80
2350000000.0,"Ngaglik, Sleman",10.0,10.0,4.0,103,255
2200000000.0,"Ngaglik, Sleman",4.0,2.0,2.0,250,180
549000000.0,"Kalasan, Sleman",2.0,1.0,1.0,90,45
549000000.0,"Kalasan, Sleman",2.0,1.0,1.0,90,45
585000000.0,"Kalasan, Sleman",3.0,2.0,1.0,100,58
585000000.0,"Kalasan, Sleman",3.0,2.0,1.0,100,58
8000000000.0,"Depok, Sleman",11.0,6.0,4.0,618,388
500000000.0,"Kalasan, Sleman",2.0,2.0,1.0,120,45
500000000.0,"Kalasan, Sleman",2.0,2.0,1.0,120,45
1100000000.0,"Ngaglik, Sleman",4.0,2.0,1.0,115,205
720000000.0,"Kalasan, Sleman",3.0,2.0,1.0,87,80
720000000.0,"Kalasan, Sleman",3.0,2.0,1.0,87,80
2300000000.0,"Depok, Sleman",4.0,3.0,2.0,160,150
399000000.0,"Gamping, Sleman",2.0,2.0,1.0,100,50
1350000000.0,"Wirobrajan, Yogyakarta",3.0,2.0,1.0,105,120
1500000000.0,"Turi, Sleman",0.0,0.0,0.0,976,250
1300000000.0,"Wirobrajan, Yogyakarta",3.0,2.0,2.0,161,120
875000000.0,"Mantrijeron, Yogyakarta",3.0,2.0,1.0,85,125
235000000.0,"Prambanan, Sleman",2.0,1.0,1.0,73,30
799000000.0,"Mantrijeron, Yogyakarta",3.0,1.0,1.0,119,80
2200000000.0,"Mlati, Sleman",11.0,11.0,0.0,133,182
1000000000.0,"Wirobrajan, Yogyakarta",5.0,3.0,2.0,180,120
950000000.0,"Kasihan, Bantul",3.0,1.0,0.0,108,100
998000000.0,"Maguwoharjo, Yogyakarta",3.0,3.0,1.0,103,100
8000000000.0,"Pogung, Yogyakarta",7.0,4.0,6.0,1300,1000
1300000000.0,"Mantrijeron, Yogyakarta",5.0,2.0,2.0,112,200
1300000000.0,"Mantrijeron, Yogyakarta",5.0,4.0,2.0,150,200
2430000000.0,"Sleman, Sleman",4.0,3.0,1.0,192,135
302000000.0,"Kaliurang, Yogyakarta",3.0,2.0,1.0,121,60
480000000.0,"Kasihan, Bantul",3.0,1.0,1.0,98,50
1000000000.0,"Sedayu, Bantul",7.0,5.0,1.0,110,110
1500000000.0,"Maguwoharjo, Yogyakarta",3.0,4.0,2.0,151,161
2650000000.0,"Sleman, Sleman",4.0,3.0,1.0,213,135
2950000000.0,"Depok, Sleman",15.0,15.0,2.0,200,400
155000000.0,"Ngaglik, Sleman",2.0,1.0,1.0,88,36
2100000000.0,"Gamping, Sleman",3.0,2.0,1.0,223,200
2490000000.0,"Sleman, Sleman",4.0,3.0,1.0,200,135
591000000.0,"Sleman, Sleman",2.0,1.0,1.0,84,40
1350000000.0,"Gamping, Sleman",5.0,3.0,0.0,156,156
650000000.0,"Tempel, Sleman",5.0,2.0,1.0,161,130
571000000.0,"Sleman, Sleman",2.0,1.0,1.0,79,40
1380000000.0,"Sleman, Sleman",3.0,2.0,1.0,103,100
325000000.0,"Kulonprogo, Kulon Progo",2.0,1.0,1.0,70,36
337000000.0,"Kulonprogo, Kulon Progo",2.0,1.0,1.0,74,36
331000000.0,"Kulonprogo, Kulon Progo",2.0,1.0,1.0,72,36
2880000000.0,"Sleman, Sleman",11.0,11.0,1.0,207,208
725000000.0,"Kalasan, Sleman",4.0,2.0,1.0,130,100
1350000000.0,"Sleman, Sleman",3.0,2.0,1.0,100,103
520000000.0,"Sayegan, Sleman",2.0,1.0,1.0,90,50
7250000000.0,"Mergangsan, Yogyakarta",23.0,11.0,3.0,500,550
2400000000.0,"Sleman, Sleman",4.0,3.0,1.0,187,135
950000000.0,"Ngaglik, Sleman",3.0,2.0,1.0,175,120
1480000000.0,"Sleman, Sleman",3.0,2.0,1.0,125,100
